0195153448,9780195153446,Classical Mythology,Mark P. O. Morford,,,
0002005018,9780002005012,Clara Callan: A Novel,Richard Bruce Wright,http://www.openisbn.com/cover/0002005018_72.jpg,HarperFlamingoCanada,414
0060973129,9780060973124,Decision In Normandy,Carlo D'Este,http://www.openisbn.com/cover/0060973129_72.jpg,HarperPerennial,555
0374157065,9780374157067,Flu: The Story Of The Great Influenza Pandemic Of 1918 And The Search For The Virus That Caused It,Gina Kolata,http://www.openisbn.com/cover/0374157065_72.jpg,Farrar,
0393045218,9780393045215,The Mummies Of Urumchi,Elizabeth Wayland Barber,,,
0399135782,9780399135781,The Kitchen God's Wife,Amy Tan,http://www.openisbn.com/cover/0399135782_72.jpg,G. P. Putnam's Sons,415
0425176428,9780425176429,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,http://www.openisbn.com/cover/0425176428_72.jpg,Berkley Trade,416
0671870432,9780671870430,Pleading Guilty,Scott Turow,,,
0679425608,9780679425601,Under The Black Flag: The Romance And The Reality Of Life Among The Pirates,David Cordingly,http://www.openisbn.com/cover/0679425608_72.jpg,Random House,296
074322678X,9780743226783,Where You'll Find Me: And Other Stories,Ann Beattie,http://www.openisbn.com/cover/074322678X_72.jpg,Scribner,208
0771074670,9780771074677,Nights Below Station Street,David Adams Richards,http://www.openisbn.com/cover/0771074670_72.jpg,Emblem Editions,225
080652121X,9780806521213,Hitler's Secret Bankers: The Myth Of Swiss Neutrality During The Holocau: The Myth Of Swiss Neutrality During The Holocaust,Kensington,http://www.openisbn.com/cover/080652121X_72.jpg,Citadel,293
0887841740,9780887841743,The Middle Stories,Sheila Heti,http://www.openisbn.com/cover/0887841740_72.jpg,House Of Anansi Press,160
1552041778,9781552041772,Jane Doe,J. R. Kaiser,http://www.openisbn.com/cover/1552041778_72.jpg,Mira Books,0
1558746218,9781558746213,A Second Chicken Soup For The Woman's Soul (Chicken Soup For The Soul),Jack Canfield,,,
1567407781,9781567407785,The Witchfinder (Amos Walker Series),Loren D. Estleman,,,
1575663937,9781575663937,More Cunning Than Man: A Social History Of Rats And Man,Robert Hendrickson,http://www.openisbn.com/cover/1575663937_72.jpg,Kensington,288
1881320189,9781881320180,Goodbye To The Buttermilk Sky,Julia Oliver,http://www.openisbn.com/cover/1881320189_72.jpg,River City Pub,191
0440234743,9780440234746,The Testament,John Grisham,http://www.openisbn.com/cover/0440234743_72.jpg,Dell,544
0452264464,9780452264465,Beloved (Plume Contemporary Fiction),Toni Morrison,http://www.openisbn.com/cover/0452264464_72.jpg,Longman,275
0609804618,9780609804612,Our Dumb Century: The Onion Presents 100 Years Of Headlines From America's Finest News Source,The Onion,,,
1841721522,9781841721521,New Vegetarian: Bold And Beautiful Recipes For Every Occasion,Celia Brooks Brown,,,
1879384493,9781879384491,If I'd Known Then What I Know Now: Why Not Learn From The Mistakes Of Others? You Can't Afford To Make Them All Yourself!,J. R. Parrish,http://www.openisbn.com/cover/1879384493_72.jpg,Cypress House,136
0061076031,9780061076039,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate &amp; Ashley Starring In),Mary-kate &amp; Ashley Olsen,http://www.openisbn.com/cover/0061076031_72.jpg,HarperEntertainment,128
0439095026,9780439095020,Tell Me This Isn't Happening,Robynn Clairday,http://www.openisbn.com/cover/0439095026_72.jpg,Scholastic,144
0689821166,9780689821165,Flood : Mississippi 1927,Kathleen Duey,,,
0971880107,9780971880108,Wild Animus: A Novel,Rich Shapero,http://www.openisbn.com/cover/0971880107_72.jpg,Too Far Pub,315
0345402871,9780345402875,Airframe,Michael Crichton,http://www.openisbn.com/cover/0345402871_72.jpg,Ballantine Books,448
0345417623,9780345417626,Timeline,Michael Crichton,http://www.openisbn.com/cover/0345417623_72.jpg,Ballantine Books,512
0684823802,9780684823805,Out Of The Silent Planet,C.S. Lewis,http://www.openisbn.com/cover/0684823802_72.jpg,Scribner,160
0375759778,9780375759772,Prague: A Novel,Arthur Phillips,http://www.openisbn.com/cover/0375759778_72.jpg,Random House Trade Paperbacks,400
0425163091,9780425163092,Chocolate Jesus,Stephen Jaramillo,http://www.openisbn.com/cover/0425163091_72.jpg,Berkley Trade,249
3404921038,9783404921034,Wie Barney Es Sieht. Roman,Mordecai Richler,,,
3442353866,9783442353866,Der Fluch Der Kaiserin,Eleanor Cooney,,,
3442410665,9783442410668,Die Sturmzeit-Trilogie: Sturmzeit: Roman: BD 1,Charlotte Link,http://www.openisbn.com/cover/3442410665_72.jpg,Goldmann Verlag,544
3442446937,9783442446933,Tage Der Unschuld,Richard North Patterson,,,
0375406328,9780375406324,Lying Awake,Mark Salzman,http://www.openisbn.com/cover/0375406328_72.jpg,Alfred A. Knopf,181
0446310786,9780446310789,To Kill A Mockingbird,Harper Lee,http://www.openisbn.com/cover/0446310786_72.jpg,Grand Central Publishing,281
0449005615,9780449005613,Seabiscuit: An American Legend,Laura Hillenbrand,http://www.openisbn.com/cover/0449005615_72.jpg,Ballantine Books,399
0060168013,9780060168018,Pigs In Heaven,Barbara Kingsolver,http://www.openisbn.com/cover/0060168013_72.jpg,HarperCollins Publishers,288
038078243X,9780380782437,Miss Zukas And The Raven's Dance (Miss Zukas Mysteries),Jo Dereske,http://www.openisbn.com/cover/038078243X_72.jpg,Avon,256
